PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1642847,Jeremiah Fears,1610612740,NOP,27,5,22,27.6,12.9,2.7,6,0.457,1,1.2,0.813,6.8,0.527,5.3,0.409,0.7,0.058,0.6,0.049,0.6,0.046
1630526,Jeremiah Robinson-Earl,1610612754,IND,17,4,13,17.6,1.4,0.1,0.6,0.091,0.2,0.2,1,0.4,0.261,0.5,0.391,0.1,0.043,0.1,0.043,0.1,0.087
1631110,Jeremy Sochan,1610612759,SAS,17,11,6,16.3,1.6,0.4,0.5,0.667,0.2,0.2,0.75,0.9,0.556,0.8,0.481,0.2,0.148,0.2,0.111,0.1,0.074
1630579,Jericho Sims,1610612749,MIL,20,7,13,14.8,0.2,0.1,0.1,1,0,0,0,0.1,0.5,0.1,0.5,0,0,0,0,0,0
1641724,Jett Howard,1610612753,ORL,17,9,8,10.4,2.2,0.6,1.1,0.579,0.1,0.1,1,1.5,0.676,0.9,0.432,0.2,0.108,0,0,0.1,0.027
1628975,Jevon Carter,1610612741,CHI,14,3,11,14.3,2.7,0.2,0.9,0.25,0.3,0.3,1,0.7,0.263,1.2,0.447,0.3,0.105,0.4,0.132,0.1,0.053
202710,Jimmy Butler III,1610612744,GSW,23,12,11,31.2,12,1.8,3.6,0.512,2.3,2.8,0.813,6.2,0.514,6,0.5,1.3,0.105,0.8,0.065,1.4,0.116
1642866,Joan Beringer,1610612750,MIN,9,6,3,4.1,0.1,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0
1629111,Jock Landale,1610612763,MEM,26,12,14,21.9,0.3,0.1,0.2,0.5,0.1,0.1,1,0.2,0.667,0.1,0.333,0,0,0,0,0,0.111
204060,Joe Ingles,1610612750,MIN,8,4,4,2.9,0.3,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0
203954,Joel Embiid,1610612755,PHI,11,6,5,26.1,5.4,1,2,0.5,1.9,2.4,0.808,4,0.746,1.8,0.339,0.2,0.034,0.2,0.034,1.2,0.22
1628381,John Collins,1610612746,LAC,26,6,20,26.9,3.3,0.9,2,0.451,0.4,0.5,0.833,2.2,0.682,0.6,0.188,0.1,0.024,0.4,0.129,0.2,0.071
1629723,John Konchar,1610612763,MEM,22,11,11,13,0.6,0,0.1,0.333,0.1,0.1,1,0.2,0.308,0.4,0.692,0.1,0.154,0,0,0,0.077
1641780,Johni Broome,1610612755,PHI,6,3,3,6.5,0.3,0.2,0.3,0.5,0,0,0,0.3,1,0,0,0,0,0,0,0,0
1642277,Johnny Furphy,1610612754,IND,8,3,5,11.9,1.1,0,0.3,0,0,0,0,0,0,0.8,0.667,0,0,0.1,0.111,0,0
1630548,Johnny Juzang,1610612750,MIN,8,6,2,2.8,0.5,0,0.1,0,0.1,0.3,0.5,0.1,0.25,0.3,0.5,0,0,0,0,0.1,0.25
202685,Jonas Valančiūnas,1610612743,DEN,25,19,6,12.8,0.4,0.1,0.2,0.6,0,0,0,0.2,0.545,0.1,0.273,0,0,0.1,0.182,0,0
1628371,Jonathan Isaac,1610612753,ORL,23,13,10,10.2,0.2,0,0.1,0.5,0,0,0,0.1,0.5,0,0.25,0,0,0,0.25,0,0
1630228,Jonathan Kuminga,1610612744,GSW,17,9,8,25.7,7.5,1.5,3.4,0.439,0.9,1.2,0.75,3.9,0.516,2.6,0.352,0.5,0.063,0.8,0.102,0.6,0.078
1642367,Jonathan Mogbo,1610612761,TOR,11,3,8,4.6,0.3,0.1,0.2,0.5,0,0,0,0.2,0.667,0.1,0.333,0.1,0.333,0,0,0,0
203903,Jordan Clarkson,1610612752,NYK,25,18,7,19.8,5.8,1.3,2.7,0.485,0.6,1,0.667,3.4,0.579,1.9,0.324,0.5,0.09,0.6,0.097,0.5,0.083
1630692,Jordan Goodwin,1610612756,PHX,23,13,10,20.4,3.8,0.8,1.8,0.452,0,0,0,1.7,0.437,1.4,0.379,0.4,0.115,0.5,0.138,0,0
1641722,Jordan Hawkins,1610612740,NOP,22,3,19,14.3,1.4,0.2,0.5,0.364,0.1,0.2,0.75,0.5,0.355,0.8,0.548,0.2,0.129,0,0.032,0.1,0.065
1629162,Jordan McLaughlin,1610612759,SAS,9,7,2,8.3,1.3,0.2,0.7,0.333,0,0,0,0.6,0.417,0.6,0.417,0.1,0.083,0.1,0.083,0,0
1641757,Jordan Miller,1610612746,LAC,5,1,4,15.2,5.2,0.4,1.2,0.333,1.2,1.6,0.75,2,0.385,2.8,0.538,0.6,0.115,0.2,0.038,0.8,0.154
1629673,Jordan Poole,1610612740,NOP,9,3,6,29.5,7.7,1,3.1,0.321,1.8,1.8,1,3.8,0.493,3.1,0.406,0.9,0.116,0.3,0.043,0.9,0.116
