CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1629675,Naz Reid,1610612750,MIN,C-F,26,56,56,1,261,575,0.454,0.473,-0.019
1627742,Brandon Ingram,1610612761,TOR,F,28,53,53,1,251,574,0.437,0.462,-0.024
203110,Draymond Green,1610612744,GSW,F,35,46,46,1,254,573,0.443,0.488,-0.045
1641750,Ryan Kalkbrenner,1610612766,CHA,C,24,43,43,1,267,570,0.468,0.491,-0.023
1642281,Jaylon Tyson,1610612739,CLE,G-F,23,50,50,1,250,568,0.44,0.46,-0.02
1627759,Jaylen Brown,1610612738,BOS,G-F,29,49,49,1,243,568,0.428,0.466,-0.038
1628971,Bruce Brown,1610612743,DEN,G-F,29,55,55,1,261,563,0.464,0.461,0.002
1630577,Julian Champagnie,1610612759,SAS,F,24,54,54,1,265,563,0.471,0.465,0.006
1630193,Immanuel Quickley,1610612761,TOR,G,26,52,52,1,250,561,0.446,0.454,-0.008
1631094,Paolo Banchero,1610612753,ORL,F,23,43,43,1,269,560,0.48,0.473,0.007
1642907,Cedric Coward,1610612763,MEM,G,22,48,48,1,250,560,0.446,0.466,-0.019
1628386,Jarrett Allen,1610612739,CLE,C,27,43,43,1,256,558,0.459,0.5,-0.042
203994,Jusuf Nurkić,1610612762,UTA,C,31,41,41,1,271,557,0.487,0.497,-0.01
1630191,Isaiah Stewart,1610612765,DET,F-C,24,48,48,1,246,555,0.443,0.476,-0.033
201942,DeMar DeRozan,1610612758,SAC,G-F,36,56,56,1,292,555,0.526,0.48,0.046
1630202,Payton Pritchard,1610612738,BOS,G,28,53,53,1,256,548,0.467,0.456,0.011
1627739,Kris Dunn,1610612746,LAC,G,31,54,54,1,249,546,0.456,0.465,-0.009
1631105,Jalen Duren,1610612765,DET,C,22,44,44,1,252,544,0.463,0.489,-0.026
1642883,Sion James,1610612766,CHA,G,23,55,55,1,246,543,0.453,0.469,-0.016
1630541,Moses Moody,1610612744,GSW,G,23,53,53,1,248,538,0.461,0.466,-0.005
1628368,De'Aaron Fox,1610612759,SAS,G,28,45,45,1,252,536,0.47,0.46,0.01
1642366,Quinten Post,1610612744,GSW,C,25,55,55,1,238,533,0.447,0.482,-0.036
1628384,OG Anunoby,1610612752,NYK,F-G,28,41,41,1,238,533,0.447,0.473,-0.027
1642377,Jaylen Wells,1610612763,MEM,F,22,52,52,1,253,532,0.476,0.47,0.006
1626171,Bobby Portis,1610612749,MIL,F,31,51,51,1,272,530,0.513,0.482,0.032
1641708,Amen Thompson,1610612745,HOU,G-F,23,52,52,1,224,520,0.431,0.467,-0.036
1630162,Anthony Edwards,1610612750,MIN,G,24,46,46,1,236,514,0.459,0.471,-0.012
1630558,Davion Mitchell,1610612748,MIA,G,27,46,46,1,235,513,0.458,0.461,-0.003
1629130,Duncan Robinson,1610612765,DET,F,31,51,51,1,232,513,0.452,0.459,-0.006
203501,Tim Hardaway Jr.,1610612743,DEN,G-F,33,54,54,1,257,510,0.504,0.459,0.045
1641709,Ausar Thompson,1610612765,DET,G-F,23,49,49,1,230,509,0.452,0.466,-0.014
