GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1627742-1629628-1630193-1630567-1642867-,B. Ingram - R. Barrett - I. Quickley - S. Barnes - C. Murray-Boyles,1610612761,TOR,17,10,7,0.588,139.405,125,258,0.484,30,93,0.323,47,62,0.758,25,100,125,84,38,22,23,10,60,49,327,12,39,39,13630,5621,25,28,26,6091,50,33,5652,40,34,4334,40,25,26,28,13717,34,8,13676,13723,35,30,409,418215
Lineups,-1629627-1630180-1630529-1630530-1642852-,Z. Williamson - S. Bey - H. Jones - T. Murphy III - D. Queen,1610612740,NOP,11,5,6,0.455,137.581667,128,273,0.469,34,101,0.337,51,63,0.81,33,84,117,89,31,25,16,16,48,40,341,-19,160,282,13557,7083,26,25,24,6286,41,28,4708,30,33,3968,26,31,29,22,13698,27,24,13727,13711,57,27,13634,412745
Lineups,-1628392-1628983-1629652-1631096-1641717-,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - C. Wallace,1610612760,OKC,12,12,0,1,136.503333,131,252,0.52,36,85,0.424,49,57,0.86,27,83,110,82,37,38,19,12,62,51,347,50,123,20,1,1,27,24,28,4092,36,45,3948,38,40,3564,35,36,34,29,13713,12,15,13696,13724,30,25,13,409510
Lineups,-1626167-1628398-1629018-1631157-1631260-,M. Turner - K. Kuzma - G. Trent Jr. - R. Rollins - A. Green,1610612749,MIL,21,9,12,0.429,132.138333,112,250,0.448,45,114,0.395,28,38,0.737,11,84,95,67,32,21,12,16,50,43,297,-23,20,61,13734,7115,28,36,29,6613,21,21,4361,104,91,4834,194,31,49,40,13700,36,41,13727,13714,50,39,13682,396415
Lineups,-203084-1630170-1630577-1641705-1642264-,H. Barnes - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,15,10,5,0.667,129.898333,114,221,0.516,41,98,0.418,55,69,0.797,26,101,127,72,49,25,26,8,44,61,324,42,59,39,13413,4903,29,33,38,4118,26,29,3961,20,22,4189,37,24,25,34,13726,27,6,13640,13701,23,31,20,389695
Lineups,-204001-1629638-1630552-1630700-1642258-,K. Porziņģis - N. Alexander-Walker - J. Johnson - D. Daniels - Z. Risacher,1610612737,ATL,11,6,5,0.545,129.381667,127,258,0.492,35,96,0.365,57,69,0.826,31,97,128,87,32,17,16,9,54,60,346,19,160,199,13413,5696,30,27,26,6047,38,31,4576,19,22,3902,29,26,24,23,13700,52,24,13664,13718,24,26,137,388145
Lineups,-203954-1626162-1630178-1631230-1642845-,J. Embiid - K. Oubre Jr. - T. Maxey - D. Barlow - V. Edgecombe,1610612755,PHI,12,9,3,0.75,126.555,120,235,0.511,31,83,0.373,51,64,0.797,22,82,104,81,21,32,8,11,39,50,322,40,123,61,12599,4636,31,30,33,4154,48,46,4557,30,30,4190,58,37,39,30,13644,15,81,13690,13683,33,32,22,379665
Lineups,-201142-1630578-1631095-1641708-1642263-,K. Durant - A. Sengun - J. Smith Jr. - A. Thompson - R. Sheppard,1610612745,HOU,28,16,12,0.571,125.718333,115,240,0.479,29,77,0.377,52,72,0.722,30,77,107,68,42,20,13,13,52,67,311,18,5,10,13734,5634,32,32,31,6161,56,54,4446,27,18,4880,30,43,37,38,13720,39,36,13706,13715,20,36,159,377155
Lineups,-1628976-1630217-1630532-1630591-1631094-,W. Carter Jr. - D. Bane - F. Wagner - J. Suggs - P. Banchero,1610612753,ORL,13,6,7,0.462,125.54,117,233,0.502,34,90,0.378,67,79,0.848,26,91,117,74,41,22,11,17,62,70,335,39,100,199,13630,7078,33,31,34,4192,41,36,4443,16,17,3672,37,28,29,33,13719,34,49,13731,13724,18,28,23,376620
Lineups,-201939-202710-203110-1630541-1642366-,S. Curry - J. Butler III - D. Green - M. Moody - Q. Post,1610612744,GSW,17,10,7,0.588,124.65,112,243,0.461,43,131,0.328,45,49,0.918,25,89,114,85,37,26,11,13,44,43,312,-19,39,39,13630,5621,34,36,30,6430,22,19,5643,46,53,3317,40,29,32,27,13713,22,49,13706,13701,50,35,13634,373950
