PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT
203482,Kelly Olynyk,1610612759,SAS,34,Kelly,23,27,0.852,4,10,0.4,2,4,0.5,2,3,0.667,1,5,0.2,6,30,0.2,0,0,0,3,8,0.375
1626162,Kelly Oubre Jr.,1610612755,PHI,30,Kelly,59,93,0.634,36,75,0.48,7,15,0.467,13,24,0.542,12,32,0.375,33,102,0.324,0,0,0,25,56,0.446
1629026,Kenrich Williams,1610612760,OKC,31,Kenrich,37,54,0.685,14,27,0.519,11,21,0.524,7,17,0.412,5,7,0.714,23,64,0.359,0,0,0,12,24,0.5
203484,Kentavious Caldwell-Pope,1610612763,MEM,33,Kentavious,34,57,0.596,24,53,0.453,37,82,0.451,5,20,0.25,6,15,0.4,44,139,0.317,0,0,0,11,35,0.314
1631165,Keon Ellis,1610612739,CLE,26,Keon,21,25,0.84,7,21,0.333,4,22,0.182,12,35,0.343,5,18,0.278,41,106,0.387,0,0,0,17,53,0.321
1642352,Keshad Johnson,1610612748,MIA,24,Keshad,14,25,0.56,1,8,0.125,1,1,1,2,5,0.4,0,3,0,5,15,0.333,0,0,0,2,8,0.25
1642933,Keshon Gilbert,1610612764,WAS,22,Keshon,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
201142,Kevin Durant,1610612745,HOU,37,Kevin,56,78,0.718,144,254,0.567,136,274,0.496,3,8,0.375,11,19,0.579,102,261,0.391,0,0,0,14,27,0.519
1628989,Kevin Huerter,1610612765,DET,27,Kevin,83,110,0.755,30,65,0.462,8,16,0.5,9,24,0.375,11,33,0.333,51,175,0.291,0,0,0,20,57,0.351
201567,Kevin Love,1610612762,UTA,37,Kevin,11,28,0.393,10,16,0.625,3,6,0.5,10,13,0.769,3,11,0.273,28,89,0.315,0,0,0,13,24,0.542
1641755,Kevin McCullar Jr.,1610612752,NYK,24,Kevin,7,12,0.583,0,1,0,0,3,0,1,4,0.25,2,3,0.667,3,10,0.3,0,0,0,3,7,0.429
1629645,Kevin Porter Jr.,1610612749,MIL,25,Kevin,65,109,0.596,32,76,0.421,34,73,0.466,4,9,0.444,4,16,0.25,32,99,0.323,0,0,0,8,25,0.32
1626172,Kevon Looney,1610612740,NOP,30,Kevon,21,32,0.656,0,5,0,1,6,0.167,0,0,0,0,1,0,1,8,0.125,0,0,0,0,1,0
1641718,Keyonte George,1610612762,UTA,22,Keyonte,86,118,0.729,102,215,0.474,50,128,0.391,6,15,0.4,11,31,0.355,103,275,0.375,0,0,0,17,46,0.37
1642863,Khaman Maluach,1610612756,PHX,19,Khaman,10,14,0.714,1,3,0.333,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0
203114,Khris Middleton,1610612742,DAL,34,Khris,27,47,0.574,22,55,0.4,51,108,0.472,8,22,0.364,3,10,0.3,24,74,0.324,0,0,0,11,32,0.344
202691,Klay Thompson,1610612742,DAL,36,Klay,18,33,0.545,13,31,0.419,29,79,0.367,13,41,0.317,21,52,0.404,106,280,0.379,0,0,0,34,93,0.366
1641738,Kobe Brown,1610612754,IND,26,Kobe,22,31,0.71,2,9,0.222,0,2,0,2,6,0.333,3,11,0.273,9,34,0.265,0,0,0,5,17,0.294
1641723,Kobe Bufkin,1610612747,LAL,22,Kobe,2,2,1,1,6,0.167,0,2,0,1,3,0.333,0,0,0,2,9,0.222,0,0,0,1,3,0.333
1642920,Kobe Sanders,1610612746,LAC,23,Kobe,35,49,0.714,20,51,0.392,13,37,0.351,15,29,0.517,6,14,0.429,26,84,0.31,0,0,0,21,43,0.488
1642886,Koby Brea,1610612756,PHX,23,Koby,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0
1642851,Kon Knueppel,1610612766,CHA,20,Kon,85,134,0.634,66,122,0.541,16,42,0.381,28,58,0.483,22,44,0.5,133,322,0.413,0,1,0,50,102,0.49
