PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1630230,Naji Marshall,1610612742,DAL,28,66,66,1,373,709,0.526,0.566,0.739,316,524,0.603,0.261,57,185,0.308
1626171,Bobby Portis,1610612749,MIL,31,64,64,1,349,707,0.494,0.586,0.6,218,424,0.514,0.4,131,283,0.463
1629627,Zion Williamson,1610612740,NOP,25,52,52,1,418,705,0.593,0.594,0.994,417,701,0.595,0.006,1,4,0.25
1630596,Evan Mobley,1610612739,CLE,24,53,53,1,371,704,0.527,0.57,0.723,311,509,0.611,0.277,60,195,0.308
1631221,Collin Gillespie,1610612756,PHX,26,67,66,1,302,703,0.43,0.571,0.327,103,230,0.448,0.673,199,473,0.421
1642264,Stephon Castle,1610612759,SAS,21,58,58,1,325,697,0.466,0.513,0.7,260,488,0.533,0.3,65,209,0.311
1629614,Andrew Nembhard,1610612754,IND,26,52,52,1,307,697,0.44,0.511,0.613,209,427,0.489,0.387,98,270,0.363
1630183,Jaden McDaniels,1610612750,MIN,25,66,65,1,359,692,0.519,0.585,0.688,268,476,0.563,0.312,91,216,0.421
1641764,Brandin Podziemski,1610612744,GSW,23,68,68,1,308,689,0.447,0.533,0.53,189,365,0.518,0.47,119,324,0.367
1641729,Brice Sensabaugh,1610612762,UTA,22,65,64,1,308,686,0.449,0.544,0.465,178,319,0.558,0.535,130,367,0.354
1631096,Chet Holmgren,1610612760,OKC,23,59,59,1,377,682,0.553,0.606,0.691,304,471,0.645,0.309,73,211,0.346
1628978,Donte DiVincenzo,1610612750,MIN,29,68,67,1,283,678,0.417,0.564,0.239,84,162,0.519,0.761,199,516,0.386
203924,Jerami Grant,1610612757,POR,32,53,53,1,307,677,0.453,0.547,0.526,181,356,0.508,0.474,126,321,0.393
1642377,Jaylen Wells,1610612763,MEM,22,65,65,1,290,670,0.433,0.525,0.481,166,322,0.516,0.519,124,348,0.356
1628384,OG Anunoby,1610612752,NYK,28,55,55,1,322,667,0.483,0.572,0.523,203,349,0.582,0.477,119,318,0.374
1631105,Jalen Duren,1610612765,DET,22,58,57,1,426,661,0.644,0.644,1,426,661,0.644,0,0,0,NA
203501,Tim Hardaway Jr.,1610612743,DEN,34,67,67,1,302,660,0.458,0.6,0.306,114,202,0.564,0.694,188,458,0.41
1642846,Ace Bailey,1610612762,UTA,19,59,59,1,290,652,0.445,0.519,0.572,193,373,0.517,0.428,97,279,0.348
1630700,Dyson Daniels,1610612737,ATL,23,64,64,1,331,650,0.509,0.518,0.857,319,557,0.573,0.143,12,93,0.129
1629014,Anfernee Simons,1610612741,CHI,26,55,55,1,285,648,0.44,0.552,0.415,139,269,0.517,0.585,146,379,0.385
1630559,Austin Reaves,1610612747,LAL,27,42,42,1,318,640,0.497,0.576,0.572,217,366,0.593,0.428,101,274,0.369
1641716,Jarace Walker,1610612754,IND,22,67,67,1,260,633,0.411,0.498,0.513,149,325,0.458,0.487,111,308,0.36
1630581,Josh Giddey,1610612741,CHI,23,46,46,1,288,627,0.459,0.533,0.62,196,389,0.504,0.38,92,238,0.387
1628398,Kyle Kuzma,1610612749,MIL,30,62,62,1,308,626,0.492,0.553,0.66,232,413,0.562,0.34,76,213,0.357
1630170,Devin Vassell,1610612759,SAS,25,55,54,1,274,626,0.438,0.548,0.431,136,270,0.504,0.569,138,356,0.388
202691,Klay Thompson,1610612742,DAL,36,59,59,1,245,625,0.392,0.529,0.28,74,175,0.423,0.72,171,450,0.38
1629640,Keldon Johnson,1610612759,SAS,26,68,68,1,330,623,0.53,0.594,0.663,250,413,0.605,0.337,80,210,0.381
1629656,Quentin Grimes,1610612755,PHI,25,62,62,1,278,622,0.447,0.535,0.466,169,290,0.583,0.534,109,332,0.328
1642281,Jaylon Tyson,1610612739,CLE,23,62,62,1,308,620,0.497,0.6,0.548,180,340,0.529,0.452,128,280,0.457
1642259,Alex Sarr,1610612764,WAS,20,45,45,1,303,616,0.492,0.529,0.781,257,481,0.534,0.219,46,135,0.341
1631108,Max Christie,1610612742,DAL,23,64,64,1,278,616,0.451,0.574,0.399,127,246,0.516,0.601,151,370,0.408
1642852,Derik Queen,1610612740,NOP,21,68,68,1,296,615,0.481,0.497,0.889,277,547,0.506,0.111,19,68,0.279
203954,Joel Embiid,1610612755,PHI,32,33,33,1,297,600,0.495,0.53,0.78,255,468,0.545,0.22,42,132,0.318
203507,Giannis Antetokounmpo,1610612749,MIL,31,36,35,1,373,598,0.624,0.636,0.925,358,553,0.647,0.075,15,45,0.333
1630245,Ayo Dosunmu,1610612750,MIN,26,59,58,1,310,598,0.518,0.605,0.607,206,363,0.567,0.393,104,235,0.443
1641730,Noah Clowney,1610612751,BKN,21,61,61,1,237,596,0.398,0.503,0.374,112,223,0.502,0.626,125,373,0.335
1629628,RJ Barrett,1610612761,TOR,25,43,42,1,290,592,0.49,0.549,0.647,220,383,0.574,0.353,70,209,0.335
1629023,P.J. Washington,1610612742,DAL,27,50,50,1,261,590,0.442,0.497,0.654,196,386,0.508,0.346,65,204,0.319
1629130,Duncan Robinson,1610612765,DET,31,66,66,1,260,589,0.441,0.596,0.226,78,133,0.586,0.774,182,456,0.399
1631097,Bennedict Mathurin,1610612746,LAC,23,44,44,1,255,589,0.433,0.492,0.633,186,373,0.499,0.367,69,216,0.319
1642848,Tre Johnson,1610612764,WAS,20,55,55,1,246,585,0.421,0.512,0.501,139,293,0.474,0.499,107,292,0.366
1626167,Myles Turner,1610612749,MIL,29,63,63,1,258,584,0.442,0.557,0.406,124,237,0.523,0.594,134,347,0.386
1642267,Bub Carrington,1610612764,WAS,20,68,68,1,241,582,0.414,0.527,0.424,109,247,0.441,0.576,132,335,0.394
1642273,Kyshawn George,1610612764,WAS,22,48,48,1,253,577,0.438,0.524,0.549,154,317,0.486,0.451,99,260,0.381
1628960,Grayson Allen,1610612756,PHX,30,44,44,1,237,577,0.411,0.532,0.321,97,185,0.524,0.679,140,392,0.357
1630314,Brandon Williams,1610612742,DAL,26,60,60,1,265,562,0.472,0.503,0.746,230,419,0.549,0.254,35,143,0.245
1630577,Julian Champagnie,1610612759,SAS,24,68,68,1,243,561,0.433,0.578,0.246,81,138,0.587,0.754,162,423,0.383
1642276,Kel'el Ware,1610612748,MIA,21,64,64,1,292,554,0.527,0.591,0.657,221,364,0.607,0.343,71,190,0.374
1642270,Donovan Clingan,1610612757,POR,22,64,64,1,290,554,0.523,0.582,0.643,225,356,0.632,0.357,65,198,0.328
1626220,Royce O'Neale,1610612756,PHX,32,68,67,1,231,554,0.417,0.583,0.173,47,96,0.49,0.827,184,458,0.402
203471,Dennis Schröder,1610612739,CLE,32,57,57,1,224,554,0.404,0.468,0.626,154,347,0.444,0.374,70,207,0.338
1628370,Malik Monk,1610612758,SAC,28,53,53,1,240,549,0.437,0.535,0.508,133,279,0.477,0.492,107,270,0.396
203897,Zach LaVine,1610612758,SAC,31,39,39,1,262,547,0.479,0.569,0.536,163,293,0.556,0.464,99,254,0.39
1642907,Cedric Coward,1610612763,MEM,22,53,53,1,255,547,0.466,0.538,0.574,176,314,0.561,0.426,79,233,0.339
1628976,Wendell Carter Jr.,1610612753,ORL,26,65,65,1,272,539,0.505,0.565,0.625,207,337,0.614,0.375,65,202,0.322
1629012,Collin Sexton,1610612741,CHI,27,54,54,1,261,537,0.486,0.562,0.615,179,330,0.542,0.385,82,207,0.396
202699,Tobias Harris,1610612765,DET,33,51,51,1,246,537,0.458,0.518,0.65,182,349,0.521,0.35,64,188,0.34
1630541,Moses Moody,1610612744,GSW,23,59,59,1,237,537,0.441,0.578,0.318,90,171,0.526,0.682,147,366,0.402
1628381,John Collins,1610612746,LAC,28,56,56,1,297,533,0.557,0.628,0.664,222,354,0.627,0.336,75,179,0.419
1631212,Peyton Watson,1610612743,DEN,23,49,48,1,264,532,0.496,0.567,0.662,189,352,0.537,0.338,75,180,0.417
1629651,Nic Claxton,1610612751,BKN,26,61,61,1,300,523,0.574,0.576,0.967,297,506,0.587,0.033,3,17,0.176
201950,Jrue Holiday,1610612757,POR,35,40,40,1,244,520,0.469,0.563,0.513,147,267,0.551,0.487,97,253,0.383
1641717,Cason Wallace,1610612760,OKC,22,66,66,1,219,514,0.426,0.509,0.516,134,265,0.506,0.484,85,249,0.341
1630573,Sam Hauser,1610612738,BOS,28,65,65,1,209,512,0.408,0.572,0.15,41,77,0.532,0.85,168,435,0.386
1630591,Jalen Suggs,1610612753,ORL,24,45,45,1,224,510,0.439,0.528,0.457,133,233,0.571,0.543,91,277,0.329
1642875,Maxime Raynaud,1610612758,SAC,22,61,61,1,289,509,0.568,0.579,0.908,278,462,0.602,0.092,11,47,0.234
1642349,Ajay Mitchell,1610612760,OKC,23,47,47,1,246,507,0.485,0.536,0.702,194,356,0.545,0.298,52,151,0.344
1641783,Tristan da Silva,1610612753,ORL,24,63,63,1,225,507,0.444,0.544,0.473,123,240,0.513,0.527,102,267,0.382
1642844,Dylan Harper,1610612759,SAS,20,55,54,1,246,506,0.486,0.525,0.733,207,371,0.558,0.267,39,135,0.289
1642271,Kyle Filipowski,1610612762,UTA,22,66,66,1,248,504,0.492,0.55,0.663,190,334,0.569,0.337,58,170,0.341
1642285,Cam Spencer,1610612763,MEM,25,64,64,1,241,504,0.478,0.608,0.413,110,208,0.529,0.587,131,296,0.443
1630643,Jay Huff,1610612754,IND,28,68,66,1,237,504,0.47,0.568,0.375,138,189,0.73,0.625,99,315,0.314
1642268,Isaiah Collier,1610612762,UTA,21,58,58,1,250,502,0.498,0.525,0.807,223,405,0.551,0.193,27,97,0.278
1628404,Josh Hart,1610612752,NYK,31,55,55,1,248,501,0.495,0.573,0.591,170,296,0.574,0.409,78,205,0.38
1629631,De'Andre Hunter,1610612758,SAC,28,45,45,1,208,501,0.415,0.49,0.509,133,255,0.522,0.491,75,246,0.305
1629645,Kevin Porter Jr.,1610612749,MIL,25,37,37,1,231,499,0.463,0.508,0.721,186,360,0.517,0.279,45,139,0.324
1629111,Jock Landale,1610612737,ATL,30,61,61,1,257,498,0.516,0.583,0.655,190,326,0.583,0.345,67,172,0.39
1629028,Deandre Ayton,1610612747,LAL,27,59,58,1,333,497,0.67,0.67,1,333,497,0.67,0,0,0,NA
1630572,Sandro Mamukelashvili,1610612761,TOR,26,65,64,1,255,497,0.513,0.6,0.527,169,262,0.645,0.473,86,235,0.366
1629060,Rui Hachimura,1610612747,LAL,28,56,56,1,247,493,0.501,0.6,0.538,149,265,0.562,0.462,98,228,0.43
203084,Harrison Barnes,1610612759,SAS,33,63,63,1,218,492,0.443,0.56,0.378,103,186,0.554,0.622,115,306,0.376
1629632,Coby White,1610612766,CHA,26,38,37,1,214,492,0.435,0.523,0.482,127,237,0.536,0.518,87,255,0.341
1629636,Darius Garland,1610612746,LAC,26,33,33,1,219,485,0.452,0.539,0.546,134,265,0.506,0.454,85,220,0.386
1631126,Caleb Love,1610612757,POR,24,45,44,1,189,484,0.39,0.487,0.403,96,195,0.492,0.597,93,289,0.322
