PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1642867,193,Collin Murray-Boyles,1610612761,TOR,24,17.7,2.7,4.8,0.56,0.5,1.2,0.448,0.8,1.4,0.606,1.7,1.7,3.4,1.4,0.6,0.4,1.1,6.8,8.8
1631169,194,Josh Minott,1610612738,BOS,27,18.5,2.4,4.7,0.508,1.2,2.7,0.444,0.7,1,0.769,1.4,2.8,4.2,1.2,0.8,0.4,0.7,6.7,10.1
1641767,195,Ben Sheppard,1610612754,IND,22,25,2.4,6.7,0.354,1.1,4,0.273,0.7,0.9,0.789,0.8,3.3,4.1,2,0.6,0.1,0.7,6.5,8.1
1629750,196,Javonte Green,1610612765,DET,28,18.3,2.2,5.1,0.424,0.9,2.6,0.329,1.2,1.6,0.773,0.7,2,2.7,0.9,1.3,0.4,0.7,6.4,7.5
1642347,197,Jamal Shead,1610612761,TOR,29,20.2,2.1,5.7,0.364,1.1,3.2,0.337,1.2,1.6,0.778,0.4,1.5,1.9,5.4,1.1,0.1,1.2,6.4,9.8
1630568,198,Luka Garza,1610612738,BOS,20,13.8,2.2,4,0.557,0.6,1.4,0.407,1.4,1.9,0.757,2.4,1.5,3.8,0.9,0.3,0.5,0.5,6.4,9.1
1641711,199,Gradey Dick,1610612761,TOR,29,15.8,2.1,5.2,0.408,0.9,2.9,0.321,1.1,1.4,0.825,0.4,1.4,1.8,0.6,0.7,0.1,0.5,6.3,5.7
1630696,200,Dru Smith,1610612748,MIA,28,17.4,2.2,5.3,0.409,0.7,2.3,0.308,1.1,1.5,0.762,0.9,1.7,2.6,2.9,1.5,0.3,1,6.2,9.1
1642920,201,Kobe Sanders,1610612746,LAC,20,19.4,2.1,4.9,0.429,0.9,2.6,0.353,1.1,1.2,0.917,0.4,1.6,2,1.3,0.6,0.2,1.6,6.2,5.8
1642383,202,Walter Clayton Jr.,1610612762,UTA,23,16.1,2.1,5,0.422,0.8,2.7,0.295,1.1,1.2,0.926,0.4,1.7,2.1,3.2,0.5,0.2,1.3,6.1,7.7
1630194,203,Paul Reed,1610612765,DET,21,10.9,2.6,4,0.647,0.3,0.6,0.462,0.6,1,0.6,1.9,2.3,4.1,1,0.8,0.7,1,6.1,9.9
201572,204,Brook Lopez,1610612746,LAC,21,14.7,2.1,5.3,0.405,1.3,3.6,0.373,0.4,0.6,0.692,0.3,1.8,2,0.5,0.3,0.9,0.9,6,5.6
1629637,205,Jaxson Hayes,1610612747,LAL,24,17.7,2.5,3.2,0.766,0,0,1,1.1,1.7,0.65,1.4,2.8,4.2,1,0.3,0.7,0.5,6,10.3
1629048,206,Goga Bitadze,1610612753,ORL,27,16.8,2.4,3.4,0.714,0.1,0.3,0.25,1.1,1.5,0.775,1.8,3.3,5,1.4,0.7,1.3,0.6,6,12.6
1642962,207,Drake Powell,1610612751,BKN,19,17.7,2.1,4.3,0.488,0.7,1.9,0.378,1.1,1.1,0.952,0.2,1.6,1.8,1.9,0.7,0.2,1.2,6,7.3
203500,207,Steven Adams,1610612745,HOU,21,21.8,2.1,4.5,0.479,0,0,0,1.7,2.4,0.706,4.6,4.2,8.8,1.5,0.7,0.7,1,6,13.6
1642261,209,Dalton Knecht,1610612747,LAL,22,14.5,2.2,4.8,0.462,1,2.8,0.344,0.5,0.7,0.667,0.4,1.5,1.9,0.5,0.3,0.3,0.4,5.9,5.7
1630702,210,Jaden Hardy,1610612742,DAL,21,10.5,1.9,4.7,0.398,1.2,2.9,0.41,0.9,1,0.818,0.2,1,1.2,0.5,0.2,0.1,0.8,5.8,3.9
1631200,211,Kris Murray,1610612757,POR,26,25.1,2.2,5,0.443,0.5,2.1,0.255,0.7,1,0.667,1.8,2.1,3.9,1.1,1.2,0.4,0.9,5.7,8.2
1631243,212,Mouhamed Gueye,1610612737,ATL,29,16.6,2.3,4.8,0.486,0.5,2,0.254,0.4,0.8,0.565,1.1,2.3,3.5,0.9,0.6,0.6,0.7,5.6,7.7
1642878,213,Tyrese Proctor,1610612739,CLE,21,12.5,1.8,5.2,0.345,1,3.4,0.31,0.9,1.1,0.826,0.2,1.3,1.5,1.5,0.3,0,0.4,5.6,4.9
1628366,214,Lonzo Ball,1610612739,CLE,22,23.9,1.9,6.2,0.301,1.3,5,0.255,0.5,0.8,0.667,1.1,3.5,4.6,4.7,1.5,0.3,1.8,5.5,10.2
1631119,215,Jaylin Williams,1610612760,OKC,25,18.3,1.8,5,0.355,1.2,4.1,0.294,0.8,1.2,0.655,0.5,4.2,4.7,2.4,0.7,0.5,1,5.5,9.2
1631110,216,Jeremy Sochan,1610612759,SAS,19,15.9,2.3,4.6,0.494,0.4,1.4,0.269,0.6,0.8,0.688,1.2,2.2,3.4,1.3,0.5,0.2,0.8,5.5,7.5
1642348,217,Justin Edwards,1610612755,PHI,24,16.6,1.9,5.1,0.374,1.1,3.4,0.333,0.5,0.5,0.923,0.6,1.2,1.8,1.4,0.7,0.3,0.8,5.5,5.5
1631321,218,Sidy Cissoko,1610612757,POR,23,20.1,1.9,4.8,0.396,0.9,2.8,0.323,0.6,0.9,0.667,0.8,1.4,2.2,1.3,0.5,0.2,1,5.3,5.4
1629234,219,Drew Eubanks,1610612758,SAC,25,14.4,2.2,3.6,0.615,0,0.1,0.5,0.8,1.5,0.526,0.8,2,2.8,0.3,0.5,0.7,0.9,5.3,6.6
